,gene_ids
1539,KHDRBS2
1540,LGSN
1541,PTP4A1
1542,SCAT8
1543,AL606923.2
1544,ADGRB3
1545,COL19A1
1546,COL9A1
1547,FAM135A
1548,LINC00472
1549,FO393414.3
1550,KCNQ5
1551,OOEP-AS1
1552,AL121972.1
1553,CD109
1554,FILIP1
1555,MYO6
1556,IRAK1BP1
1557,SH3BGRL2
1558,BCKDHB
1559,AL359715.2
1560,TENT5A
1561,UBE3D
1562,DOP1A
1563,ME1
1564,PRSS35
1565,LINC02857
1566,MRAP2
1567,CEP162
1568,ANKRD6
1569,BACH2
1570,AL132996.1
1571,UFL1-AS1
1572,FHL5
1573,GPR63
1574,KLHL32
1575,MMS22L
1576,AL589740.1
1577,FAXC
1578,ASCC3
1579,GRIK2
1580,AL357522.1
1581,BVES
1582,AL591518.1
1583,RTN4IP1
1584,PDSS2
1585,SOBP
1586,SCML4
1587,AFG1L
1588,FOXO3
1589,Z95118.2
1590,ARMC2
1591,SESN1
